DriverNumber,LapNumber,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,TyreLife,HARD,INTERMEDIATE,MEDIUM,SOFT,WET
44,13.0,23.228,30.798000000000002,27.921000000000003,265.0,264.0,276.0,16.0,0,0,0,1,0
44,14.0,23.279,30.835,28.037000000000003,267.0,260.0,276.0,17.0,0,0,0,1,0
44,15.0,23.086000000000002,30.802000000000003,27.878,264.0,263.0,276.0,18.0,0,0,0,1,0
44,16.0,23.209000000000003,30.682000000000002,28.022000000000002,271.0,262.0,276.0,19.0,0,0,0,1,0
44,17.0,23.154,30.688000000000002,28.062,264.0,265.0,276.0,20.0,0,0,0,1,0
44,18.0,23.115000000000002,30.898000000000003,28.728,273.0,263.0,278.0,21.0,0,0,0,1,0
44,19.0,23.316000000000003,31.354000000000003,28.321,258.0,263.0,286.0,22.0,0,0,0,1,0
44,20.0,22.669,30.782000000000004,28.076,274.0,261.0,275.0,23.0,0,0,0,1,0
44,21.0,23.286,30.936000000000003,28.164,272.0,269.0,276.0,24.0,0,0,0,1,0
44,22.0,23.162000000000003,30.863000000000003,28.358,273.0,267.0,276.0,25.0,0,0,0,1,0
44,23.0,23.226000000000003,30.935000000000002,28.305000000000003,276.0,266.0,275.0,26.0,0,0,0,1,0
44,24.0,23.214000000000002,30.789,28.257,275.0,262.0,277.0,27.0,0,0,0,1,0
44,25.0,23.436,31.01,28.44,270.0,263.0,276.0,28.0,0,0,0,1,0
44,26.0,23.497,30.966,28.463,277.0,265.0,276.0,29.0,0,0,0,1,0
44,29.0,23.518,30.810000000000002,27.803,265.0,258.0,276.0,2.0,0,0,1,0,0
44,31.0,23.398,30.311000000000003,27.425,268.0,261.0,274.0,4.0,0,0,1,0,0
44,32.0,23.397000000000002,30.94,27.949,269.0,260.0,274.0,5.0,0,0,1,0,0
44,33.0,23.396,30.971000000000004,27.974,265.0,253.0,275.0,6.0,0,0,1,0,0
44,34.0,23.274,30.985000000000003,28.034000000000002,271.0,256.0,275.0,7.0,0,0,1,0,0
44,35.0,23.071,30.589000000000002,28.085,274.0,266.0,275.0,8.0,0,0,1,0,0
44,36.0,23.044,30.609,28.191000000000003,275.0,253.0,282.0,9.0,0,0,1,0,0
44,37.0,23.084000000000003,30.66,28.040000000000003,270.0,259.0,285.0,10.0,0,0,1,0,0
44,39.0,23.18,30.885,28.072000000000003,263.0,254.0,277.0,12.0,0,0,1,0,0
44,40.0,23.01,30.675,28.039,273.0,260.0,277.0,13.0,0,0,1,0,0
44,41.0,23.382,30.808000000000003,28.020000000000003,271.0,261.0,276.0,14.0,0,0,1,0,0
44,42.0,23.080000000000002,31.1,28.026000000000003,265.0,261.0,275.0,15.0,0,0,1,0,0
44,45.0,22.82,30.337000000000003,27.796000000000003,269.0,268.0,277.0,18.0,0,0,1,0,0
44,54.0,22.461000000000002,29.158,26.873,279.0,281.0,277.0,11.0,0,0,0,1,0
44,55.0,22.992,30.165000000000003,27.752000000000002,267.0,268.0,278.0,12.0,0,0,0,1,0
44,56.0,22.766000000000002,30.020000000000003,27.194000000000003,275.0,267.0,278.0,13.0,0,0,0,1,0
44,57.0,22.819000000000003,29.742,27.297,274.0,272.0,276.0,14.0,0,0,0,1,0
44,58.0,22.796000000000003,30.020000000000003,27.479000000000003,272.0,265.0,275.0,15.0,0,0,0,1,0
44,59.0,22.781000000000002,29.606,27.294,273.0,275.0,276.0,16.0,0,0,0,1,0
44,60.0,22.706000000000003,29.691000000000003,27.377000000000002,274.0,274.0,276.0,17.0,0,0,0,1,0
44,61.0,22.798000000000002,29.642000000000003,27.445,275.0,272.0,276.0,18.0,0,0,0,1,0
44,65.0,22.692,29.682000000000002,27.245,277.0,272.0,276.0,22.0,0,0,0,1,0
44,66.0,22.771,29.747000000000003,27.591,276.0,276.0,232.0,23.0,0,0,0,1,0
33,2.0,23.644000000000002,31.330000000000002,28.621000000000002,267.0,251.0,275.0,5.0,0,0,0,1,0
33,5.0,23.406000000000002,31.104000000000003,28.293000000000003,269.0,259.0,276.0,8.0,0,0,0,1,0
33,6.0,23.401,31.024,28.392000000000003,268.0,264.0,275.0,9.0,0,0,0,1,0
33,7.0,23.434,31.102,28.417,266.0,263.0,275.0,10.0,0,0,0,1,0
33,8.0,23.378,30.958000000000002,28.289,267.0,262.0,275.0,11.0,0,0,0,1,0
33,9.0,23.346,31.022000000000002,28.341,268.0,266.0,274.0,12.0,0,0,0,1,0
33,10.0,23.343,30.977,28.231,271.0,260.0,275.0,13.0,0,0,0,1,0
33,11.0,23.399,30.92,28.183000000000003,268.0,265.0,275.0,14.0,0,0,0,1,0
