year,round,driver,percThrottle,maxSpeed
2020,10,6,0.6454081632653061,328
2020,11,63,0.5694444444444444,318
2020,11,77,0.59375,321
2020,11,5,0.5905292479108635,313
2020,11,16,0.6123595505617978,314
2020,11,33,0.5977337110481586,314
2020,11,23,0.5790960451977402,314
2020,11,55,0.6005586592178771,318
2020,11,4,0.6050420168067226,317
2020,11,3,0.5774647887323944,316
2020,11,31,0.5617977528089888,317
2020,11,26,0.6138888888888889,316
2020,11,10,0.5921787709497207,315
2020,11,7,0.5706371191135734,313
2020,11,99,0.5817174515235457,313
2020,11,20,0.5944444444444444,313
2020,11,6,0.569060773480663,315
2020,12,63,0.6018808777429467,324
2020,12,77,0.6656050955414012,321
2020,12,5,0.6540880503144654,321
2020,12,16,0.6719745222929936,316
2020,12,33,0.6805111821086262,315
2020,12,23,0.6412698412698413,315
2020,12,55,0.6446540880503144,323
2020,12,4,0.6329113924050633,321
2020,12,3,0.6477987421383647,321
2020,12,31,0.6238244514106583,324
2020,12,26,0.6487341772151899,322
2020,12,10,0.6424050632911392,322
2020,12,7,0.6439628482972136,322
2020,12,99,0.6408668730650154,323
2020,12,20,0.6594427244582043,318
2020,12,6,0.6222910216718266,323
2020,13,63,0.6903225806451613,324
2020,13,77,0.7266666666666667,328
2020,13,5,0.7175324675324676,322
2020,13,16,0.7540983606557377,322
2020,13,33,0.7293729372937293,319
2020,13,23,0.7114754098360656,322
2020,13,55,0.7287581699346405,325
2020,13,4,0.7311475409836066,325
2020,13,3,0.7180327868852459,327
2020,13,31,0.6828478964401294,328
2020,13,26,0.740983606557377,322
2020,13,10,0.7114754098360656,326
2020,13,7,0.7161290322580646,325
2020,13,99,0.7051282051282052,320
2020,13,20,0.7249190938511327,320
2020,13,6,0.6891025641025641,329
2020,14,63,0.16353383458646617,289
2020,14,77,0.2915766738660907,300
2020,14,5,0.2851063829787234,291
2020,14,16,0.28451882845188287,292
2020,14,33,0.37104072398190047,291
2020,14,23,0.32891832229580575,291
2020,14,55,0.2823779193205945,295
2020,14,4,0.2777777777777778,294
2020,14,3,0.3092105263157895,296
2020,14,31,0.28633405639913234,293
2020,14,26,0.18371212121212122,293
2020,14,10,0.2800829875518672,293
2020,14,7,0.31896551724137934,292
2020,14,99,0.2494802494802495,297
2020,14,20,0.17782026768642448,288
2020,14,6,0.09482758620689655,279
2020,15,63,0.5771276595744681,327
2020,15,77,0.667590027700831,322
2020,15,5,0.654891304347826,322
2020,15,16,0.6504065040650406,325
2020,15,33,0.6648199445983379,319
2020,15,23,0.6456043956043956,323
2020,15,55,0.6331521739130435,326
